"filename", "language", "CSS", "JavaScript", "JSON", "XML", "HTML", "comment", "blank", "total"
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/SideBar/index.js", "JavaScript", 0, 143, 0, 0, 0, 0, 16, 159
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/SideBar/styles.css", "CSS", 79, 0, 0, 0, 0, 6, 12, 97
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Slider/index.js", "JavaScript", 0, 55, 0, 0, 0, 0, 2, 57
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Slider/styles.css", "CSS", 54, 0, 0, 0, 0, 1, 11, 66
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/SwitchBTN/index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 4, 23
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/SwitchBTN/styles.css", "CSS", 108, 0, 0, 0, 0, 0, 10, 118
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/constants/app.js", "JavaScript", 0, 53, 0, 0, 0, 0, 2, 55
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/constants/help.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 132
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/constants/tableHeaders.js", "JavaScript", 0, 182, 0, 0, 0, 0, 8, 190
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/constants/tooltips.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 8
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/helpers/image.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/activity-icon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/archive-icon.svg", "XML", 0, 0, 0, 7, 0, 1, 1, 9
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/bug-icon.svg", "XML", 0, 0, 0, 6, 0, 1, 5, 12
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/chart-pie.svg", "XML", 0, 0, 0, 7, 0, 0, 5, 12
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/chevron-down.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/close-icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/cog.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/cv-icon.svg", "XML", 0, 0, 0, 15, 0, 1, 0, 16
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/down-icon.svg", "XML", 0, 0, 0, 4, 0, 0, 1, 5
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/download-icon.svg", "XML", 0, 0, 0, 75, 0, 1, 1, 77
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/drop-photo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/edit-icon.svg", "XML", 0, 0, 0, 80, 0, 1, 1, 82
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/error-icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/fontsize-icon.svg", "XML", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/handshake-icon.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/hide-icon.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/image-placeholder.svg", "XML", 0, 0, 0, 51, 0, 1, 1, 53
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/logout-icon.svg", "XML", 0, 0, 0, 44, 0, 1, 1, 46
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/margin-icon.svg", "XML", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/minus-icon.svg", "XML", 0, 0, 0, 37, 0, 1, 1, 39
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/padding-icon.svg", "XML", 0, 0, 0, 8, 0, 1, 1, 10
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/page-icon.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/plus-icon.svg", "XML", 0, 0, 0, 46, 0, 1, 1, 48
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/profile-icon.svg", "XML", 0, 0, 0, 84, 0, 1, 1, 86
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/question-mark-circle.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/search-icon.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/show-icon.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/tools-icon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/trash-icon.svg", "XML", 0, 0, 0, 51, 0, 1, 1, 53
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/up-icon.svg", "XML", 0, 0, 0, 4, 0, 0, 1, 5
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/user-group.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/user-icon.svg", "XML", 0, 0, 0, 43, 0, 1, 1, 45
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/icons/users.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/index.css", "CSS", 22, 0, 0, 0, 0, 0, 3, 25
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 22
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Account.js", "JavaScript", 0, 273, 0, 0, 0, 0, 15, 288
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Activity.js", "JavaScript", 0, 89, 0, 0, 0, 0, 9, 98
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/CVMaker.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/CVs.js", "JavaScript", 0, 191, 0, 0, 0, 0, 15, 206
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Clients.js", "JavaScript", 0, 330, 0, 0, 0, 0, 18, 348
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Consultants.js", "JavaScript", 0, 548, 0, 0, 0, 1, 17, 566
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/ForgotPass.js", "JavaScript", 0, 86, 0, 0, 0, 0, 7, 93
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Help.js", "JavaScript", 0, 156, 0, 0, 0, 1, 7, 164
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/HelpPage.js", "JavaScript", 0, 42, 0, 0, 0, 0, 5, 47
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Home.js", "JavaScript", 0, 35, 0, 0, 0, 0, 7, 42
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Landing.js", "JavaScript", 0, 97, 0, 0, 0, 0, 8, 105
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Login.js", "JavaScript", 0, 91, 0, 0, 0, 0, 8, 99
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/NewCV.js", "JavaScript", 0, 1458, 0, 0, 0, 5, 51, 1514
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Register.js", "JavaScript", 0, 133, 0, 0, 0, 0, 9, 142
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Report.js", "JavaScript", 0, 123, 0, 0, 0, 0, 10, 133
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/ResetPass.js", "JavaScript", 0, 97, 0, 0, 0, 0, 11, 108
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Search.js", "JavaScript", 0, 208, 0, 0, 0, 0, 11, 219
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Settings.js", "JavaScript", 0, 915, 0, 0, 0, 0, 45, 960
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Statistics.js", "JavaScript", 0, 154, 0, 0, 0, 0, 17, 171
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/ToolsTech.js", "JavaScript", 0, 231, 0, 0, 0, 0, 14, 245
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/Users.js", "JavaScript", 0, 605, 0, 0, 0, 0, 21, 626
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/pages/styles/index.css", "CSS", 1430, 0, 0, 0, 0, 26, 227, 1683
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/index.js", "JavaScript", 0, 24, 0, 0, 0, 0, 3, 27
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/reducers/appData.js", "JavaScript", 0, 30, 0, 0, 0, 0, 4, 34
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/reducers/image.js", "JavaScript", 0, 30, 0, 0, 0, 0, 4, 34
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/reducers/log.js", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/reducers/report.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/reducers/resume.js", "JavaScript", 0, 36, 0, 0, 0, 0, 4, 40
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/reducers/user.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 46
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/appData.js", "JavaScript", 0, 53, 0, 0, 0, 0, 8, 61
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/image.js", "JavaScript", 0, 54, 0, 0, 0, 0, 8, 62
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/log.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/report.js", "JavaScript", 0, 25, 0, 0, 0, 0, 4, 29
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/resume.js", "JavaScript", 0, 67, 0, 0, 0, 0, 10, 77
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/store/services/user.js", "JavaScript", 0, 88, 0, 0, 0, 0, 12, 100
"Total", "-", 3486, 11117, 50264, 611, 81, 124, 1194, 66877
